[2025-03-30 16:53:41.067] [   ] [debug] /mnt/local/git/project.jotliner/server/.envrc_home/.config/cherrytree/config.cfg parsed
[2025-03-30 16:53:41.174] [   ] [debug] autosave on 1 min
[2025-03-30 16:53:41.311] [   ] [debug] Node 1 > root
[2025-03-30 16:53:45.305] [   ] [debug] kill_callback_handler 1
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
[2025-03-30 16:53:45.340] [gtk] [critical] gtk_css_static_style_compute_value: assertion 'parent_style == ((void *)0) || (((__extension__ ({ GTypeInstance *__inst = (GTypeInstance*) (parent_style); GType __t = ((gtk_css_style_get_type ())); gboolean __r; if (!__inst) __r = (0); else if (__inst->g_class && __inst->g_class->g_type == __t) __r = (!(0)); else __r = g_type_check_instance_is_a (__inst, __t); __r; }))))' failed
